koi_period,koi_impact
7.34373964,0.185
0.445277068,1.2962
0.379463865,1.246
9.88047978,1.02
4.6484156,0.968
17.51201477,0.994
3.9886021,0.06
0.533059312,1.263
0.525154153,1.226
1.303861044,1.258
0.73452496,0.537
2.55549176,1.228
2.947376671,2.641
224.7789355,0.652
0.890110752,0.216
5.76573396,0.708
7.42608123,0.097
15.9868932,0.533
0.73094589,1.169
18.92537246,0.806
0.933749106,0.736
2.037440623,0.715
129995.7784,0.7127
31.5925809,0.283
1.97376085,0.337
13.11896244,0.042
4.618767792,0.766
7.82187328,0.005
53.5057611,0.46
2.785821236,0.893
52.56901867,1.197
3.411758679,1.213
0.525426427,0.113
1.269091415,0.412
6.79685353,0.62
8.667822346,1.276
1.475323222,0.136
4.15246118,0.639
6.7210783,0.537
8.7348852,0.314
10.26547688,0.69
13.4471791,0.963
3.305577989,1.145
4.800653901,0.785
15.06649901,1.018
34.82008158,0.663
0.651784374,1.224
1.353771892,1.203
18.95491633,1.228
4.348866254,1.187
47.93094546,1.272
3.99751422,0.0303
1.592633181,0.003
67.5923754,0.728
17.02902786,0.202
6.84619236,0.077
67.8321638,0.027
43.1312147,0.67
1.224866441,0.286
37.8102649,0.061
25.93406406,0.014
83.4463485,0.058
7.04710032,1.195
12.99204853,0.091
11.11620211,0.937
1.922861499,0.943
0.635445336,1.253
1.665784138,1.27
55.6639167,1.298
52.09081627,0.065
7.1548608,0.9848
4.28746668,0.374
2.002779769,0.242
8.18739443,0.377
76.0498163,0.015
3.341799486,0.426
3.3226948,0.4722
36.97708808,1.246
1.851409163,1.1117
1.303859704,0.674
145.5624926,1.274
3.749105745,0.942
11.08956602,0.02
7.37290344,0.993
7.24476126,0.04
119.0624882,0.968
8.70798309,0.063
14.8623076,0.324
4.17634276,0.142
27.40229859,0.022
3.179267286,0.171
10.38122447,0.319
24.5709023,0.945
81.221876,1.01
0.817026268,0.01
3.024092505,0.424
5.670155713,1.267
1.022678654,0.019
12.10968709,0.924
4.75796103,0.621
20.4972755,0.966
13.55480534,0.497
29.74454668,0.337
14.15402428,1.1
0.844786082,1.297
0.848483947,1.264
11.99097576,1.269
53.5292702,0.346
0.393726813,1.1898
2.757584622,0.093
0.928310036,0.181
13.48457668,0.011
31.8841473,0.938
16.15811112,1.8572
67.69213907,0.5581
12.06222962,0.392
9.93146307,0.037
21.85362905,0.676
8.19345065,0.815
19.97867,0.923
41.8059544,0.029
15.45158184,0.636
89.69816853,0.684
1.187352427,1.222
3.012476582,1.261
4.77800306,0.02
7.814839231,0.945
29.7452499,0.941
5.32667299,0.043
0.741057213,1.26
2.988085455,1.216
2.783883492,1.255
0.393727296,1.228
8.17242644,0.926
1295.362215,1.3935
13.0607936,0.718
4.2989201,0.972
25.9518461,1.22
25.9518536,1.25
5.68628739,0.8548
15.66388695,0.985
4.020628573,0.827
5.714817603,0.096
185.0228822,1.004
2.897432135,0.967
8.70420525,0.5
8.1280933,0.357
2.83668931,0.33
0.974868896,0.12
4.89721006,0.66
2.757794163,0.8
1.914158508,0.942
3.98216698,0.775
0.643794198,1.193
16.08832318,0.648
10.30067919,0.004
35.6757453,0.61
1.00861677,0.537
161.7883271,0.267
16.56806842,0.164
47.3329299,0.43
0.856895349,0.554
40.8065333,0.016
2.46697039,0.574
2.624234833,0.781
6.61836309,0.043
107.7214092,0.003
92.77779,0.0174
5.251916208,1.256
9.673958488,0.194
100.3039228,1.256
200.6110335,0.537
0.986620248,1.252
1.63484631,0.537
14.12847677,0.811
48.6478543,0.988
8.39842977,0.573
8.63847391,0.049
422.917678,0.7887
140.10765,0.019
3.4815917,0.076
8.360616221,0.21
1.838514968,0.045
35.61760233,0.009
1.09206833,0.469
10.12805158,0.753
1.613001111,0.448
3.770551475,0.053
1.343767797,0.891
29.12436474,1.181
31.82814583,1.276
3.629442796,0.97
0.553261874,1.246
5.72812616,0.22
3.75574267,0.127
7.45301717,0.035
7.44042933,0.968
6.581477136,0.137
24.66919273,0.073
2.382652873,0.682
24.66461416,0.8
11.51517167,0.311
7.641567589,0.027
30.6113932,1.264
7.40742502,0.03
569.934135,0.919
5.09246539,0.161
110.6157662,0.537
1.103971357,0.52
10.91610834,0.7699
3.353732008,0.051
6.877446033,0.79
28.46464804,0.035
0.293630085,1.2329
42.89645024,0.007
2.44199803,0.856
30.5872153,0.013
7.09712124,0.05
2.6827683,0.769
3.601465336,0.021
3.108251172,0.9
25.8474958,0.054
40.715561,0.008
20.42720701,0.956
6.198273591,0.343
1.023471798,0.974
0.51872711,1.199
17.31711739,0.684
9.42889884,0.011
1.096583368,0.421
9.95639775,1.222
6.50327035,0.08
4.09667624,0.142
1.196548464,0.332
11.47609015,0.755
25.2630467,0.743
7.1688266,0.537
0.677374687,0.132
10.43547031,0.174
7.41084314,0.064
28.59914031,0.009
24.58716355,0.648
34.19360031,0.625
12.53248222,0.668
31.20169247,0.001
13.19720694,0.568
14.85890852,0.255
4.08897299,0.374
2.866680334,0.968
17.44486016,0.871
8.30697421,1.151
2.49705175,0.537
7.33685101,0.018
22.65117451,0.925
1.204274435,0.528
7.71790675,0.112
27.6652847,0.004
0.948950734,1.246
14.55730897,0.036
4.722254104,0.506
0.635069939,1.25
6.810823723,0.57
0.933746515,1.262
1.872421727,0.917
33.6528474,0.567
5.90127815,0.03
8.75209691,0.017
22.78078241,0.008
2.896005211,0.082
0.742957911,0.162
54.35635067,1.142
0.54624855,1.215
18.82744023,0.025
8.4120069,0.022
5.747711909,0.575
3.504691252,0.741
86.67856052,0.291
12.21828097,0.778
8.387210055,1.284
15.2384539,0.74
0.413334492,1.2313
0.93374614,1.27
6.47179275,0.014
64.617518,0.9
13.21409607,0.812
6.05729966,0.219
3.584101048,0.045
1.763587535,0.512
5.014234733,0.066
8.11528727,0.916
36.9250409,0.838
37.4783492,1.161
8.09695764,1.165
32.3122867,0.934
9.22961384,0.067
14.5598556,0.026
4.176254191,0.715
0.528755447,1.204
6.10027621,0.015
51.59809554,0.251
1500,0.9243
10.9110487,0.9761
8.408878137,0.018
10.93725572,0.866
2.97136658,0.349
158.6850022,0.034
2.936527336,0.524
7.03902016,0.015
8.360870704,0.494
3.14051153,1.251
21.76129812,0.123
12.71379418,0.485
15.80110003,0.512
1500.140677,0.9131
1.739428983,4.246
1.217266418,0.878
19.56309252,0.842
3.7228551,0.911
48.93786896,0.981
5.48990788,1.199
161.5278347,0
0.73093905,0.018
11.39102358,0.732
12.33343853,0.979
8.01500821,0.645
0.933749941,1.225
7.053934488,0.899
4.29263699,0.454
7.6746614,0.939
0.445275074,0.639
1.213770423,0.83
0.453287416,0.81
10.81013273,0.948
3.273699006,0.733
7.047103499,1.047
1.073917869,1.266
4.206096814,1.239
19.56313723,0.908
2.227718792,1.04
0.591914504,1.344
36.7704935,0.545
14.58932429,0.694
0.764017553,0.442
59.8780258,0.004
20.51360192,0.703
74.92768653,0.796
150.0189511,1.252
2.613020421,0.891
0.927859786,0.795
205.912735,0.196
7.10695741,0.079
0.783276173,0.041
3.17405898,0.422
2.1395563,0.368
4.807103254,0.94
21.4054422,0.943
10.5007712,0.034
2.633852528,0.204
6.18670882,0.013
1.796320953,0.015
3.468073,0.143
5.9142668,0.04
14.00640392,0.568
3.546531809,0.633
5.70070626,0.664
20.8341497,0.269
7.0556584,0.301
10.47548084,0.664
22.92886314,0.805
77.4740991,0.758
345.1589354,0.87
6.88595222,0.953
99.6442783,0.966
3.125814002,0.506
5.660669429,0.477
10.80487163,0.207
13.71938426,0.022
29.2214959,0.779
44.8520997,0.807
20.34237838,0.826
118.3786735,0.011
23.58444746,0.711
11.97884409,0.073
3.71545593,0.327
2.58083264,0.16
1.487084251,0.678
19.25404023,0.548
15.0549356,0.321
2.92721119,0.043
38.2856338,0.115
19.80787763,0.054
2.343230566,0.047
19.03723442,0.033
2.73987398,0.703
5.801880653,0.773
85.34092607,12.773
0.782045734,1.244
0.576078683,1.113
10.1171684,0.296
19.12947603,0.861
83.5781976,0.544
6.1469956,0.083
0.522457732,0.967
54.1558384,0.927
3.548465446,0.075
11.1199028,0.72
0.567856484,0.324
251.0597249,1.264
11.70219638,1.166
40.7150498,0.638
10.44635944,0.967
2.508553286,0.009
13.75129636,0.359
0.885747456,1.205
3.611541977,1.254
8.041347775,0.26
5.082722475,0.019
78.9257421,0.359
9.991625291,1.256
8.57504983,0.129
6.84639884,0.9
7.64970832,0.898
12.37679312,0.537
10.30401132,0.017
2.171827838,1.323
3.016182013,0.732
6.8833761,0.075
0.833980196,0.547
69.62754202,0.537
1.926353494,0.767
0.890737359,1.146
5.41908491,0.536
7.01733571,0.581
6.91134223,0.259
394.6249514,0.336
7.19304935,0.017
86.64764448,0
36.33750453,0.825
14.64613058,0.561
148.272013,0.883
1.506507172,1.226
1.634614356,1.229
16.02501898,13.239
10.50682978,0.407
0.711966971,1.268
17.72724392,0.825
321.2124365,0.873
7.13895376,1.199
4.4645454,0.808
11.29689442,0.634
19.30112039,0.862
1.20320092,1.274
5.968724048,0.166
10.9802462,0.733
2.144632238,1.228
27.32204488,0.257
1.152216965,0.811
5.2972293,0.022
133.460999,0.249
5.188563677,0.179
15.19423359,0.906
14.17098745,0.041
31.9734169,1.24
3.990105908,0.582
0.52205862,1.24
10.03538181,0.079
53.10094262,0.988
5.80181368,0.967
15.6402515,1.167
0.691666384,0.552
5.62154315,0.742
1.074106954,0.122
5.117401517,0.683
4.20233673,0.004
8.50698069,0.816
15.60865244,0.985
0.669310092,0.157
4.494498254,1.149
44.9306706,0.481
14.13175309,0.848
1.061934816,1.25
11.41926141,0.242
5.93821065,1.646
268.9410974,0.765
0.655001616,1.121
33.1996355,0.017
8.65306587,1.222
6.80082032,0.597
19.30581662,0.001
3.221785738,0.777
0.6243875,1.157
18.61009258,1.258
13.22175358,0.451
1.137525054,1.238
23.79993927,1.137
7.16893064,0.573
54.325574,0.154
20.01959599,0.537
1.22775877,1.111
40.24649897,0.877
2.27999662,0.739
2.48658617,0.079
5.729317577,0.597
11.77613232,0.54
11.60908533,0.03
162.0479502,0.663
0.530967162,1.167
40.05881661,0.819
6.09747233,0.012
56.637918,0.298
2.243016513,0.737
8.6531216,1.214
8.99088621,0.77
34.06456641,0.524
4.350087749,0.986
1.744101106,0.618
7.981187121,1.036
4.118775582,0.754
1.694740233,0.671
0.971933156,1.42
121.5991278,5.011
15.06806077,0.88
7.886632468,0.048
8.027681123,0.495
704.962626,0.8495
50.28635977,0.018
22.79020351,0.036
13.26079792,0.22
1.061932545,0.713
127.8334997,0.416
10.21864532,0.416
15.573637,0.946
40.1015561,0.868
4.45814897,0.754
5.663621501,0.169
6.230335,0.808
12.49340725,0.594
6.62643441,0.111
3.70122061,0.178
6.247030799,0.039
13.73474071,0.941
700.0029822,0.143
272.0868353,0.3629
14.55387488,0.955
0.895277575,0.928
81.0637895,0.584
24.8056775,0.007
13.02493307,0.004
44.3471936,0.273
9.2207691,0.037
13.6396648,0.105
1.922799706,0.036
3.02168007,0.349
3.222975318,0.33
42.0370662,0.672
21.0112068,0.853
4.16811839,0.709
5.82348911,0.877
8.75059775,0.33
9.41475056,1.148
0.56669006,0.7102
7.13969705,0.027
18.75470238,0.034
0.648868342,1.172
3.00363219,0.727
11.30123036,0.117
0.796722833,0.601
4.24153629,0.257
17.32419108,0.764
14.37457572,0.035
9.65188331,0.122
6.0990118,0.688
49.4781446,0.048
30.8639476,0.907
2.403640701,0.918
2.90060781,0.47
4.51436096,0.118
3.77359871,0
8.18182189,0.655
13.32389352,0.073
4.919584997,0.243
11.41911886,0.947
11.36113254,0.734
1.3866358,0.3783
14.53410833,0.766
33.0063185,0.39
11.13127159,0.01
3.47143963,0.719
29.6193891,0.046
3.50376155,0.537
8.925079516,0.74
8.0922105,0.951
3.117087797,1.255
22.687155,0.023
0.937406378,0.8735
0.668483615,1.269
1.544927524,0.533
4.48758768,0.532
0.323021692,1.1083
4.70818628,1.082
14.40585744,0.001
7.702374154,3.346
16.56062577,0.96
15.74958583,0.637
37.8145252,0.845
12.64504291,0.931
21.5262958,0.804
33.8845825,0.961
6.40087137,0.861
30.1599411,0.802
51.0771048,0.498
4.2856756,0.5445
7.388833611,0.799
2.698021895,1.3
117.931108,0.615
4.887806806,0.561
11.97360504,1.3
1.231364189,0.995
2.102416517,1.236
11.7031093,1.279
13.73808249,0.957
16.66216657,7.444
0.752159702,1.272
4.81886153,0.924
125.8654019,0.101
34.5439452,0.87
10.74241765,0.034
4.02378908,0.715
0.312941621,1.1789
2.495780169,0.133
8.428090255,6.787
8.344104633,10.047
1.714274727,1.182
137.759605,0.776
2.155278342,0.926
3.661326482,0.812
4.75400072,0.672
0.76973817,0.537
9.08937826,0.982
3.234699282,0.079
31.99552485,0.69
1.577800747,1.332
2.380862632,0.664
1.752567456,1.218
51.92920654,0.398
384.0257068,0.537
3.014330766,0.01
5.644914154,0.445
3.105507835,0.799
1.336109338,1.28
13.35151248,0.573
1693.663623,0.5283
5.841636615,0.026
19.85029495,0.217
22.34293693,0.001
119.4081716,0.915
1.171536413,0.973
0.973547911,1.097
3.053563251,1.208
1.031096352,0.979
11.00817635,0.025
52.5008645,0.11
0.63133171,0.726
12.69905011,0.663
8.74292005,0.025
3.64830183,0.063
2.345863002,0.035
37.1011418,0.41
104.8205868,0.918
10.8644095,0.763
124.4197175,0.017
1.219568047,0.067
2.05388477,0.282
38.86848956,0.028
35.7353616,0.878
12.30971679,0.847
54.4205407,0.9414
30.00908916,0.537
14.32407216,1.292
27.07237655,0.015
37.5142128,0.366
55.6391882,0.811
46.6856205,0.217
34.2966363,0.711
4.59726613,0.033
9.97716876,0.002
30.8825387,0.197
72.4914068,0.989
4.93913074,1.167
2.240486703,0.461
105.0145774,0.954
4.88084456,0.227
10.56137217,0.963
67.6690554,0.354
3.949627144,0.049
16.00460392,0.49
3.55650737,0.01
3.148661555,0.652
0.70544824,1.2
3.295701024,0.267
9.65349016,0.149
5.315954488,0.718
10.04556377,0.075
1.499144441,0.331
5.082748362,0.063
5.00673576,0.599
9.17617167,0.107
19.7383992,0.732
41.6980186,0.002
59.6585348,0.956
52.6298542,0.311
10.29099413,0.049
14.8783945,0.749
59.6222627,0.873
4.9883873,0.944
8.19596647,0.252
15.59466045,0.266
56.35407916,0.835
36.12895451,1.474
32.50456309,0.927
1.332560589,0.009
31.56904354,0.985
9.08590495,0.978
0.784512952,1.234
0.883778461,0.605
2.465024332,0.548
15.86624787,0.858
4.288515468,1.283
3.797018259,0.321
1.340596782,0.007
17.42393582,0.927
9.8786461,0.019
44.96407458,0.11
49.7700907,0.655
12.7319385,1.278
0.520222869,0.562
5.83376197,0.742
2.42150341,0.55
14.16400071,0.027
6.20920207,0.272
5.48711441,0.812
8.29084167,0.929
3.20539622,0.512
16.73869035,0.578
165.739861,0.263
5.093938816,0.618
13.93291548,0.908
2.36436762,0.146
20.6654374,0.05
20.31047472,0.05
69.8347983,0.672
2.53475568,0.878
2.59488443,0.885
43.3167427,0.034
37.59029855,0.38
3.351556891,0.129
2.617028373,0.146
1.876406096,0.302
6.71425632,0.965
150.2412582,0.345
53.44944498,0.092
0.466743525,1.186
1.727177258,0.676
7.24022418,0.507
4.64622383,0.88
10.29674097,0.298
5.93919041,0.107
19.74733983,0.595
30.36044536,0.359
4.4096675,0.814
4.16787814,0.168
220.6565125,0.537
11.79161234,0.034
20.55848388,1.334
26.964501,0.006
2.178154348,1.21
5.03257009,0.97
40.4286676,0.872
21.3588236,0.092
22.0459163,0.837
49.6456235,1.236
17.32670445,0.756
44.8411168,0.864
1.008917105,0.545
13.75207851,0.836
6.33855946,0.907
11.30507984,0.195
4.59489816,0.953
32.2964275,0.207
2.97041801,0.379
9.9824036,0.8093
12.68173393,0.929
6.814984472,0.793
63.9354965,1.2
83.09708021,0.993
7.891448838,0.306
0.839961456,0.548
2.578852119,0.625
9.04189129,0.967
30.22910274,0.77
0.798200403,1.193
3.479425638,0.612
2.92878704,1.212
9.80321143,0.663
24.81097206,0.039
7.136922,0.072
4.8538404,0.943
11.04605365,0.064
2.621706694,1.279
3.72020708,0.341
12.26486736,0.818
8.689301216,0.029
0.979442525,0.388
3.120828136,0.784
15.13590453,0.46
1.399326503,0.009
1.937029968,0.105
7.06117322,0.845
20.55331441,0.795
40.0686713,0.029
114.73658,0.595
191.239133,0.876
5.83393857,0.398
24.3282251,4.426
10.41572666,0.682
14.97031664,0.352
32.2753853,0.608
6.33027476,0.3288
38.3262237,0.963
4.04355245,0.984
5.59728249,0.473
5.52418625,0.492
8.77514782,0.504
10.12742274,0.696
0.870693883,0.832
27.5071114,0.918
5.1443645,0.031
18.45848388,0.832
25.9421582,0.577
21.06075303,0.176
13.08424286,0.701
2.684328541,0.076
23.3397956,0.4757
2.806243488,0.043
2.27190723,0.719
7.132351753,1.206
6.53194024,0.83
51.3011844,0.003
1.097211085,1.145
0.938466959,0.054
51.3901452,0.946
3.217518511,0.638
4.66271902,0.485
11.8150174,0.875
7.834433676,0.714
3.005156911,0.844
33.3856176,0.562
8.48039789,0.486
1.333395306,0.151
7.71467686,0.899
4.4444826,0.941
21.3781146,0.906
29.5422566,0.959
144.551628,0.887
186.4361811,0.921
8.04727721,0.937
5.87063416,0.642
15.35876777,0.487
29.5390897,0.213
35.6364022,0.654
0.94773253,1.186
8.98128472,0.294
0.692015479,1.267
17.0421346,0.784
7.94671044,1.255
3.74781242,1.258
192.667139,0.911
3.989544192,0.085
17.9776037,0.721
11.8693144,0.73
12.98494603,0.046
7.300735516,0.446
19.17893976,0.004
6.99130452,0.74
52.971584,1.259
3.517494725,0.742
6.93365167,0.904
5.91393977,0.0896
61.0373591,0.071
33.8677783,0.787
14.62399621,1.209
1064.268096,0.447
2.113202658,3.178
9.771462706,0.946
281.5628889,0
1.157808038,1.203
6.14281498,0.67
5.69919592,0.007
18.11473813,0.896
6.24145791,0.029
20.4222447,0.059
8.72585478,0.911
12.88291395,0.962
27.4345973,0.603
4.22453631,0.823
44.5520266,0.689
52.069002,0.275
2.418406841,0.018
8.51170088,0.537
5.0825188,0.522
6.93910337,0.966
9.11500269,0.675
8.48031942,0.918
13.7223682,0.009
3.582076914,0.966
15.43400996,0.707
1.780984316,0.782
7.63846084,0.405
70.6981724,0.026
3.74443645,0.169
10.19154678,0.659
10.5815819,0.202
2.819453322,0.532
12.89006728,0.082
23.21050996,0.954
2.35574505,0.5
4.74666128,0.441
19.65639342,0.955
62.81584402,1.31
70.468171,0.031
56.86716792,0.537
3.93246069,0.416
0.921030497,0.025
5.960400011,0.8
85.3514875,0.052
23.02028478,0.794
69.72646639,0.019
1.609321941,0.016
9.51220046,0.133
4.72941177,0.236
4.887803076,0.054
4.437962934,0.069
20.74028645,0.431
1.207852845,1.113
2.379282197,0.003
26.0692512,1.206
9.69501146,0.293
15.3825394,0.015
1.818939148,0.56
40.1097817,0.016
0.708621057,0.033
2.46106962,0.575
3.403743926,1.075
8.03753796,0.821
2.43902575,0.483
56.3587987,0.906
242.467406,0.173
169.4976085,0.625
76.13622222,0.044
4.9883872,0.939
2.586878667,0.651
3.964333304,0.094
1.525924389,1.217
5.910371418,0.065
0.917568975,0.667
5.92365747,0.045
3.24325988,0.117
7.79668781,0.005
56.4758069,0.862
92.8747294,0.917
1.538180949,0.932
10.4188915,0.856
20.4998763,0.943
1.921437488,0.919
96.109323,0.948
20.38174802,0.295
7.00447892,0.139
5.101375725,0.027
17.7940049,3.72
3.47021401,0.076
30.69395532,0.001
2.139325409,1.019
29.48106127,0.983
572.376632,0.712
2.233799622,1.249
31.13862664,0.889
13.93068791,0.912
20.4074846,0.986
12.36564669,1.22
10.35078415,0.79
62.9224936,0.928
32.7737631,0.971
38.6520796,0.038
14.20442616,0.011
55.673582,0.274
6.82778157,0.336
0.687895191,0.018
127.2824442,0.827
10.06083238,0.672
30.1837021,0.011
2.92928244,1.14
77.63424586,0.113
52.75878505,0.344
1.332564478,1.248
41.0772969,0.03
135.9121619,1.256
42.4729078,0.361
15.17026921,0.917
39.4576228,0.967
17.8159689,0.911
15.27443889,0.153
36.5157639,0.787
14.07969236,0.544
16.54081386,0.688
3.609313059,0.408
1.93155546,0.861
8.41100305,0.905
13.52252364,0.216
134.2520474,0.001
3.268695042,0.065
99.7468804,0.828
22.84156293,1.267
11.720124,0.623
4.33643506,0.641
15.95541913,0.314
8.25980352,0.161
62.5613879,0.842
8.96847034,0.558
1.907810683,0.41
32.85862571,0.955
48.11881255,1.079
2.229326354,0.249
2.514628496,0.247
8.025118521,0.454
5.79529495,0.714
73.7578875,0.714
8.56267266,0.335
8.30537702,0.489
13.22714056,0.013
51.8098276,0.273
4.38536428,0.335
34.20578508,0.319
13.97945055,0.924
3.554856338,0.331
5.28790754,0.474
8.45746636,0.209
17.28116957,0.206
32.1340014,0.256
59.7711433,0.899
4.417692516,0.971
10.08744556,0.921
16.34355902,0.716
21.96401646,0.483
125.602323,0.065
12.51353325,0.596
17.9134215,0.832
25.2149143,0.599
8.29561738,0.888
5.42586901,0.1
19.58561177,0.964
4.544436472,0.731
12.76220558,0.955
38.7149617,0.691
8.78458274,0.681
3.69298623,0.775
5.334082429,0.045
6.4980147,0.92
19.76169247,0.924
5.18498961,0.021
85.6542476,0.012
19.32945602,0.009
17.79108667,0.654
3.290114076,0.203
2.086075752,0.914
3.311864148,0.905
63.0732241,0.746
2.422084188,0.058
78.5461106,0.044
16.92342126,0.515
